,0,1,2,3,4,5
179,0.013,0.004,0.044,1.8466786497614955,3.0003092070527995,0.048160553
180,0.723,0.86,2.177,1.3945878241127112,2.9826253058306706,0.381469727
181,0.013,0.012,0.063,1.6881563208589285,3.111257206921998,0.134944916
182,0.011,0.005,0.039,1.6276842018091653,2.779145668916834,0.047922134
183,0.648,0.763,2.136,1.5993173609899114,2.714723051506709,0.391960144
184,0.011,0.009,0.043,1.3965283552216847,2.744992610585528,0.133275986
185,0.013,0.003,0.049,1.9208884963413142,2.7032745705935897,0.047683716
186,0.708,0.742,2.129,1.8561342467031754,3.015350732747763,0.380039215
187,0.012,0.007,0.043,1.9488024828267416,3.1329001801285012,0.13422966
188,0.014,0.004,0.049,1.629650409839997,2.7969888139965158,0.047206879
189,0.712,0.863,2.481,2.030344904418791,3.4587263067235243,0.437021255
190,0.014,0.01,0.047,2.200885498194797,3.284372592072839,0.143766403
191,0.015,0.003,0.045,2.0150789426235862,3.4466058429777413,0.052452087
192,0.058,0.193,1.178,8.432005367068292,14.833337404609603,0.363349915
193,0.362,0.606,1.657,1.9664049617853552,3.5957831972728242,0.40268898
194,0.047,0.006,0.048,1.860112208397818,3.374743915348915,0.143051147
195,0.012,0.004,0.046,1.7347721840986903,3.3806452602512875,0.052690506
196,0.157,0.077,0.261,9.220473321928734,15.227110112792186,0.162363052
197,0.359,1.452,1.788,2.007548675936229,3.639599624330323,0.400304794
198,0.012,0.024,0.049,1.7465836408731823,3.8846677218842323,0.145673752
199,0.014,0.011,0.043,1.9227652242787199,3.8464155893764045,0.053167343
200,0.29,1.623,1.641,1.9295213984433113,3.3213144346673587,0.396728516
201,0.012,0.02,0.059,2.066265814948569,3.728634138512121,0.139713287
202,0.012,0.01,0.046,2.322718049719173,3.52122723646713,0.05197525
203,2.683,2.314,3.055,2.250054119227579,3.7279986374895118,0.503778458
204,4.543,0.013,0.074,2.3300483370173364,3.6255820178261997,0.142812729
205,4.523,0.005,0.043,2.0722211635735768,3.405515963828759,0.05197525
206,7.995,1.251,2.967,2.2006430977643237,3.7630625616893414,0.489473343
207,4.536,0.008,0.075,2.064693966652047,3.4099980930479346,0.144481659
208,3.968,0.004,0.042,1.7631688216004648,3.7753779322310534,0.05364418
209,11.31,0.592,1.739,2.3472808619417687,3.531107993794725,0.398635864
210,0.014,0.008,0.056,1.6791909565245557,3.440211007966641,0.139951706
211,0.014,0.003,0.051,2.0355865271460836,3.45331164227186,0.051736832
212,2.464,1.418,2.941,1.7025121542946473,3.5975566971579322,0.48828125
213,3.298,0.024,0.047,1.6766954703415395,3.5209893316396266,0.141859055
214,0.03,0.009,0.028,1.8548322389485978,3.3485892901791554,0.052213669
215,0.802,2.822,2.924,2.3356168031836373,3.7338979043827143,0.501394272
216,0.013,0.021,0.065,2.3051876443324444,3.5414887750463326,0.142812729
217,0.013,0.01,0.041,2.24171458817894,3.5541250999939376,0.052452087
218,0.875,2.838,2.927,2.322422070023429,3.2861805922037135,0.487089157
219,0.011,0.025,0.063,2.067529752849926,3.796299534655275,0.143051147
220,0.013,0.457,0.04,1.9198882387775793,3.2023880274046124,0.051736832
221,0.794,1.035,2.871,1.9920333257875447,3.337945793275885,0.50163269
222,0.012,0.008,0.061,1.8303537308253914,3.8545628569588035,0.141859055
223,0.011,0.004,0.053,1.6668035009397653,3.775281493714436,0.053167343
224,0.063,0.204,1.158,6.80648511723382,14.780840475659138,0.363111496
225,6.85,0.606,1.678,2.338851913101537,3.3766966593216723,0.398397446
226,0.013,0.008,0.043,1.7968747704869297,3.7932564153482655,0.146150589
227,0.013,0.004,0.052,1.8250704594003926,3.3430780835621894,0.052928925
228,0.184,0.115,0.263,7.010770314345408,14.361276752129305,0.16283989
229,0.301,0.631,1.753,2.2995367395837403,3.2716168072145013,0.401258469
230,0.011,0.007,0.042,1.6820267899580075,3.561991939406675,0.14257431
231,0.013,0.005,0.046,2.275325691639941,3.459540082481135,0.052928925
232,0.298,0.529,1.416,0.8601379697580027,1.2325608484503474,0.424146652
233,0.012,0.007,0.053,0.6925019821559171,1.341851663582181,0.140666962
234,0.013,0.003,0.025,0.8004731250135001,1.22680841253359,0.035047531
235,0.307,0.572,1.742,1.9032304834362632,3.629353449253633,0.397920609
236,0.012,0.007,0.057,1.8530282922875791,3.7118943296962112,0.138998032
237,0.014,0.004,0.041,2.1006799617399476,3.2116008197309442,0.051498413
238,0.844,1.16,2.943,2.049819961505681,3.663376702315154,0.505208969
239,0.012,0.012,0.06,2.1965401807292,3.5703563750430622,0.14591217
240,0.012,0.005,0.045,2.1403767692157576,3.8089346102065296,0.052452087
241,0.867,1.039,2.98,1.8327717701627992,3.2512007832499643,0.491380692
242,0.013,0.008,0.043,1.9535056762610574,3.765387968119431,0.146150589
243,0.011,0.004,0.029,2.323346360638071,3.793862105437523,0.052452087
244,0.26,0.364,1.038,0.5163358056823811,0.7089578071234548,0.288963318
245,0.014,0.005,0.054,0.49655337001186695,0.8590825519362344,0.111103058
246,0.012,0.002,0.023,0.5164666482668693,0.8344421731253296,0.032663345
247,0.03,0.046,0.218,2.018862061383713,3.24690574655577,0.151157379
248,0.081,0.036,0.06,2.6969040560945166,5.358870150595942,0.092983246
249,0.35,0.415,1.093,0.8235990968845661,1.4071267311468132,0.347852707
250,0.012,0.006,0.043,0.63091078654038,1.251346923493697,0.115871429
251,0.012,0.003,0.045,0.707804121811046,1.263098747047942,0.034332275
252,0.382,0.424,1.246,0.921565707025271,1.5903002624352784,0.341176987
253,0.012,0.007,0.055,1.0358715563897327,1.5239818072980158,0.114440918
254,0.014,0.004,0.025,0.9943525061455945,1.6835651176212747,0.035762787
255,0.415,0.409,1.262,0.8355450257117165,1.4622849173109,0.319480896
256,0.016,0.005,0.051,0.969252121267758,1.5788787712199075,0.113964081
257,0.013,0.003,0.04,0.7534048827841157,1.6268755504864738,0.035762787
258,0.364,0.399,1.221,0.8836933891937095,1.4382667513395555,0.318527222
259,0.013,0.005,0.054,0.8049191041903506,1.6018482511891323,0.113487244
260,0.014,0.002,0.024,0.8422639144117163,1.4255863982216297,0.035762787
261,0.047,0.02,0.05,2.0249127131167812,3.3702908979267354,0.076532364
262,0.281,0.499,1.435,1.2154907098145025,1.8475012574323955,0.346422195
263,0.013,0.005,0.053,0.9759071389821395,1.8587674998751673,0.122308731
264,0.012,0.003,0.026,0.9109919935028815,1.9601010356266757,0.038385391
265,1.461,3.325,2.577,1.0039869827010266,1.5060325018677392,0.374078751
266,0.012,0.015,0.047,1.0151811530340757,1.5901903204185794,0.114202499
267,0.012,0.006,0.042,0.8973038195915591,1.6446674079040426,0.03528595
268,0.352,1.13,1.244,1.028871778970936,1.7186449822084606,0.308990479
269,0.014,0.014,0.046,0.9079557480867129,1.639026553804665,0.112056732
270,0.012,0.007,0.041,0.9509787058396633,1.4859355999756287,0.03528595
271,0.361,0.629,1.29,0.8717020261105536,1.550302606439247,0.309705734
272,0.012,0.006,0.045,0.889766290923619,1.5914420109248857,0.111579895
273,0.012,0.003,0.047,0.9485076295499593,1.675708396358786,0.035047531
274,0.04,0.02,0.046,2.0459083038139614,3.326573377564236,0.077486038
275,0.029,0.08,0.465,3.4609361723645855,5.710758083439047,0.154733658
276,0.203,0.223,0.863,0.47668387419581615,0.7454842605935773,0.224351883
277,0.011,0.005,0.042,0.47429784158322325,0.7131771702348721,0.114440918
278,0.012,0.003,0.041,0.47316017906197516,0.8600144196374611,0.033378601
279,0.112,0.043,0.16,4.1970156274489705,9.1329590123747,0.115394592
280,0.297,0.576,1.742,0.7095273741755076,1.267180290764496,0.482320786
281,0.012,0.007,0.033,0.7579409656636882,1.2288253886222544,0.113725662
282,0.013,0.003,0.047,0.717178985115053,1.3362992976210832,0.034332275
283,0.377,0.712,1.962,0.9652610107772994,1.5957861236741144,0.478982925
284,0.012,0.009,0.049,0.7453886655897559,1.5966222534259216,0.112533569
285,0.012,0.008,0.048,0.9939193526150478,1.641793885438741,0.035762787
286,0.488,0.391,1.27,0.8537103132363959,1.5362560180487193,0.307798386
287,0.01,0.004,0.081,0.853447992996939,1.5221052499837113,0.111103058
288,0.014,0.002,0.042,0.784789796782104,1.5323965476242267,0.035524368
289,0.364,0.357,1.244,0.8442041809134764,1.558990039064603,0.307798386
290,0.014,0.005,0.035,0.9305050395602203,1.4379265000206065,0.111341476
291,0.013,0.002,0.025,0.8009957533724426,1.4205376880500766,0.035524368
292,0.045,0.02,0.047,1.7623343201765453,3.0904680891685885,0.076770782
293,0.385,0.795,2.242,0.9031432594388251,1.698139616543328,0.484228134
294,0.011,0.008,0.051,0.9238309169362288,1.6827146557026897,0.118017197
295,0.015,0.004,0.042,1.1758730973425817,1.8504092856862409,0.03862381
296,1.472,1.18,2.811,1.0418115091842708,1.4238233467895838,0.383615494
297,0.015,0.006,0.047,0.8528251541837516,1.6666316326374448,0.122308731
298,0.014,0.004,0.041,0.7850898616524804,1.4750150998540565,0.036239624
299,0.358,0.37,1.303,0.8708801949004958,1.6921685873756203,0.31042099
300,0.014,0.004,0.063,0.8232276890449526,1.5249313067271957,0.114440918
301,0.011,0.003,0.029,0.8445147009413241,1.7145560879373563,0.035047531
302,0.354,0.355,1.228,0.9546050815759564,1.5358719201450577,0.308275223
303,0.012,0.004,0.037,0.8217746101177263,1.59090437674568,0.111341476
304,0.754,0.003,0.047,0.9951704614166563,1.7174530902647245,0.036239624
305,0.041,0.02,0.049,1.9508084049744154,3.102329685303702,0.076532364
306,0.038,0.122,0.77,5.11559017643904,7.850465209193924,0.231266022
307,0.37,0.375,1.142,0.4559042714771189,0.7642993994234024,0.307798386
308,0.018,0.004,0.034,0.4440914355694494,0.7969939073193111,0.114679337
309,0.012,0.002,0.044,0.43164142582291726,0.7513737000993781,0.032663345
310,0.099,0.041,0.195,4.796334483102563,9.17894562828927,0.114917755
311,0.139,0.021,0.083,0.08331216442655176,0.13284328727866332,0.169992447
312,0.001,0.014,0.004,0.0726131386582144,0.13760380168998124,0.048875809
313,0.271,0.354,0.846,0.03413567569110799,0.06880319103362138,0.663280487
